TimeStamp,Voltage,ppm
19/12/2016-02:47:24,4.2097,-71.3
19/12/2016-02:47:24,4.2097,-71.3
19/12/2016-02:47:25,4.2097,-71.3
19/12/2016-02:47:26,4.2097,-71.3
19/12/2016-02:47:26,4.2097,-71.3
19/12/2016-02:47:27,4.2097,-71.3
19/12/2016-02:47:27,4.2097,-71.3
19/12/2016-02:47:28,4.2097,-71.3
19/12/2016-02:47:28,4.2097,-71.3
19/12/2016-02:47:29,4.2097,-71.3
19/12/2016-02:47:29,4.2097,-71.3
19/12/2016-02:47:30,4.2097,-71.3
19/12/2016-02:47:30,4.2097,-71.3
19/12/2016-02:47:31,4.2097,-71.3
19/12/2016-02:47:31,4.2097,-71.3
19/12/2016-02:47:32,4.2097,-71.3
19/12/2016-02:47:32,4.2097,-71.3
19/12/2016-02:47:33,4.2097,-71.3
19/12/2016-02:47:34,4.2097,-71.3
19/12/2016-02:47:34,4.2097,-71.3
19/12/2016-02:47:35,4.2098,-47.5
19/12/2016-02:47:35,4.2098,-47.5
19/12/2016-02:47:36,4.2098,-47.5
19/12/2016-02:47:36,4.2098,-47.5
19/12/2016-02:47:37,4.2098,-47.5
19/12/2016-02:47:37,4.2098,-47.5
19/12/2016-02:47:38,4.2098,-47.5
19/12/2016-02:47:38,4.2098,-47.5
19/12/2016-02:47:39,4.2098,-47.5
19/12/2016-02:47:39,4.2098,-47.5
19/12/2016-02:47:40,4.2098,-47.5
19/12/2016-02:47:40,4.2098,-47.5
19/12/2016-02:47:41,4.2098,-47.5
19/12/2016-02:47:42,4.2098,-47.5
19/12/2016-02:47:42,4.2098,-47.5
19/12/2016-02:47:43,4.2098,-47.5
19/12/2016-02:47:43,4.2098,-47.5
19/12/2016-02:47:44,4.2098,-47.5
19/12/2016-02:47:44,4.2098,-47.5
19/12/2016-02:47:45,4.2098,-47.5
19/12/2016-02:47:45,4.2098,-47.5
19/12/2016-02:47:46,4.2098,-47.5
19/12/2016-02:47:46,4.2098,-47.5
19/12/2016-02:47:47,4.2097,-71.3
19/12/2016-02:47:47,4.2097,-71.3
19/12/2016-02:47:48,4.2097,-71.3
19/12/2016-02:47:48,4.2097,-71.3
19/12/2016-02:47:49,4.2097,-71.3
19/12/2016-02:47:50,4.2097,-71.3
19/12/2016-02:47:50,4.2097,-71.3
19/12/2016-02:47:51,4.2097,-71.3
19/12/2016-02:47:51,4.2097,-71.3
19/12/2016-02:47:52,4.2097,-71.3
19/12/2016-02:47:52,4.2097,-71.3
19/12/2016-02:47:53,4.2098,-47.5
19/12/2016-02:47:53,4.2098,-47.5
19/12/2016-02:47:54,4.2098,-47.5
19/12/2016-02:47:54,4.2098,-47.5
19/12/2016-02:47:55,4.2098,-47.5
19/12/2016-02:47:55,4.2098,-47.5
19/12/2016-02:47:56,4.2098,-47.5
19/12/2016-02:47:56,4.2098,-47.5
19/12/2016-02:47:57,4.2097,-71.3
19/12/2016-02:47:58,4.2097,-71.3
19/12/2016-02:47:58,4.2097,-71.3
19/12/2016-02:47:59,4.2097,-71.3
19/12/2016-02:47:59,4.2097,-71.3
19/12/2016-02:48:00,4.2098,-47.5
19/12/2016-02:48:00,4.2098,-47.5
19/12/2016-02:48:01,4.2097,-71.3
19/12/2016-02:48:01,4.2097,-71.3
19/12/2016-02:48:02,4.2097,-71.3
19/12/2016-02:48:02,4.2097,-71.3
19/12/2016-02:48:03,4.2097,-71.3
19/12/2016-02:48:03,4.2097,-71.3
19/12/2016-02:48:04,4.2097,-71.3
19/12/2016-02:48:04,4.2097,-71.3
19/12/2016-02:48:05,4.2097,-71.3
19/12/2016-02:48:06,4.2097,-71.3
19/12/2016-02:48:06,4.2097,-71.3
19/12/2016-02:48:07,4.2097,-71.3
19/12/2016-02:48:07,4.2097,-71.3
19/12/2016-02:48:08,4.2097,-71.3
19/12/2016-02:48:08,4.2096,-95
19/12/2016-02:48:09,4.2096,-95
19/12/2016-02:48:09,4.2096,-95
19/12/2016-02:48:10,4.2096,-95
19/12/2016-02:48:10,4.2096,-95
19/12/2016-02:48:14,4.2096,-95
19/12/2016-02:48:14,4.2096,-95
19/12/2016-02:48:15,4.2096,-95
19/12/2016-02:48:16,4.2096,-95
19/12/2016-02:48:16,4.2096,-95
19/12/2016-02:48:17,4.2096,-95
19/12/2016-02:48:17,4.2097,-71.3
19/12/2016-02:48:18,4.2097,-71.3
19/12/2016-02:48:18,4.2097,-71.3
19/12/2016-02:48:19,4.2097,-71.3
19/12/2016-02:48:19,4.2097,-71.3
19/12/2016-02:48:20,4.2097,-71.3
19/12/2016-02:48:20,4.2097,-71.3
19/12/2016-02:48:21,4.2097,-71.3
19/12/2016-02:48:21,4.2097,-71.3
19/12/2016-02:48:22,4.2097,-71.3
19/12/2016-02:48:22,4.2097,-71.3
19/12/2016-02:48:23,4.2097,-71.3
19/12/2016-02:48:24,4.2097,-71.3
19/12/2016-02:48:24,4.2097,-71.3
19/12/2016-02:48:25,4.2097,-71.3
19/12/2016-02:48:25,4.2097,-71.3
19/12/2016-02:48:26,4.2098,-47.5
19/12/2016-02:48:26,4.2098,-47.5
19/12/2016-02:48:27,4.2098,-47.5
19/12/2016-02:48:27,4.2098,-47.5
19/12/2016-02:48:28,4.2098,-47.5
19/12/2016-02:48:28,4.2098,-47.5
19/12/2016-02:48:29,4.2098,-47.5
19/12/2016-02:48:29,4.2098,-47.5
19/12/2016-02:48:30,4.2098,-47.5
19/12/2016-02:48:30,4.2098,-47.5
19/12/2016-02:48:31,4.2098,-47.5
19/12/2016-02:48:32,4.2097,-71.3
19/12/2016-02:48:32,4.2097,-71.3
19/12/2016-02:48:33,4.2098,-47.5
19/12/2016-02:48:33,4.2098,-47.5
19/12/2016-02:48:34,4.2098,-47.5
19/12/2016-02:48:34,4.2098,-47.5
19/12/2016-02:48:35,4.2098,-47.5
19/12/2016-02:48:35,4.2098,-47.5
19/12/2016-02:48:36,4.2098,-47.5
19/12/2016-02:48:36,4.2098,-47.5
19/12/2016-02:48:37,4.2098,-47.5
19/12/2016-02:48:37,4.2098,-47.5
19/12/2016-02:48:38,4.2098,-47.5
19/12/2016-02:48:38,4.2098,-47.5
