TimeStamp,Voltage,ppm
18/12/2016-15:03:11,16.37069040,-25554.1
18/12/2016-15:03:11,16.37068120,-25554.7
18/12/2016-15:03:12,16.37068910,-25554.2
18/12/2016-15:03:12,16.37068900,-25554.2
18/12/2016-15:03:13,16.37070870,-25553.1
18/12/2016-15:03:13,16.37067400,-25555.1
18/12/2016-15:03:14,16.37067660,-25555.0
18/12/2016-15:03:14,16.37069980,-25553.6
18/12/2016-15:03:14,16.37071610,-25552.6
18/12/2016-15:03:15,16.37071440,-25552.7
18/12/2016-15:03:15,16.37068900,-25554.2
18/12/2016-15:03:16,16.37070370,-25553.4
18/12/2016-15:03:16,16.37074800,-25550.7
18/12/2016-15:03:17,16.37068130,-25554.7
18/12/2016-15:03:17,16.37069070,-25554.1
18/12/2016-15:03:18,16.37070520,-25553.3
18/12/2016-15:03:18,16.37068540,-25554.4
18/12/2016-15:03:19,16.37067660,-25555.0
18/12/2016-15:03:19,16.37068270,-25554.6
18/12/2016-15:03:20,16.37067570,-25555.0
18/12/2016-15:03:20,16.37069580,-25553.8
18/12/2016-15:03:21,16.37069040,-25554.1
18/12/2016-15:03:21,16.37070350,-25553.4
18/12/2016-15:03:21,16.37069390,-25553.9
18/12/2016-15:03:22,16.37069660,-25553.8
18/12/2016-15:03:22,16.37069230,-25554.0
18/12/2016-15:03:23,16.37069270,-25554.0
18/12/2016-15:03:23,16.37069870,-25553.6
18/12/2016-15:03:24,16.37071960,-25552.4
18/12/2016-15:03:24,16.37068690,-25554.4
18/12/2016-15:03:25,16.37070110,-25553.5
18/12/2016-15:03:25,16.37068560,-25554.4
18/12/2016-15:03:26,16.37069280,-25554.0
18/12/2016-15:03:26,16.37069300,-25554.0
18/12/2016-15:03:27,16.37068700,-25554.3
18/12/2016-15:03:27,16.37069230,-25554.0
18/12/2016-15:03:27,16.37068340,-25554.6
18/12/2016-15:03:28,16.37068950,-25554.2
18/12/2016-15:03:28,16.37068140,-25554.7
18/12/2016-15:03:33,16.37072380,-25552.2
18/12/2016-15:03:33,16.37065590,-25556.2
18/12/2016-15:03:34,16.37068480,-25554.5
18/12/2016-15:03:34,16.37071460,-25552.7
18/12/2016-15:03:35,16.37069560,-25553.8
18/12/2016-15:03:35,16.37070820,-25553.1
18/12/2016-15:03:35,16.37073530,-25551.5
18/12/2016-15:03:36,16.37072310,-25552.2
18/12/2016-15:03:36,16.37068940,-25554.2
18/12/2016-15:03:37,16.37069290,-25554.0
18/12/2016-15:03:37,16.37068170,-25554.7
18/12/2016-15:03:38,16.37072840,-25551.9
18/12/2016-15:03:38,16.37069850,-25553.7
18/12/2016-15:03:39,16.37069230,-25554.0
18/12/2016-15:03:39,16.37071850,-25552.5
18/12/2016-15:03:40,16.37072540,-25552.1
18/12/2016-15:03:40,16.37070550,-25553.2
18/12/2016-15:03:41,16.37068540,-25554.4
18/12/2016-15:03:41,16.37072160,-25552.3
18/12/2016-15:03:42,16.37071150,-25552.9
18/12/2016-15:03:42,16.37071320,-25552.8
18/12/2016-15:03:42,16.37069030,-25554.1
18/12/2016-15:03:43,16.37067710,-25554.9
18/12/2016-15:03:43,16.37070840,-25553.1
18/12/2016-15:03:44,16.37070910,-25553.0
18/12/2016-15:03:44,16.37070850,-25553.1
18/12/2016-15:03:45,16.37068610,-25554.4
18/12/2016-15:03:45,16.37069620,-25553.8
18/12/2016-15:03:46,16.37069300,-25554.0
18/12/2016-15:03:46,16.37069610,-25553.8
18/12/2016-15:03:47,16.37071070,-25552.9
18/12/2016-15:03:47,16.37070590,-25553.2
18/12/2016-15:03:48,16.37072210,-25552.3
18/12/2016-15:03:48,16.37070780,-25553.1
18/12/2016-15:03:49,16.37068560,-25554.4
18/12/2016-15:03:49,16.37070460,-25553.3
18/12/2016-15:03:49,16.37068950,-25554.2
18/12/2016-15:03:50,16.37065130,-25556.5
18/12/2016-15:03:50,16.37067920,-25554.8
18/12/2016-15:03:51,16.37067680,-25555.0
18/12/2016-15:03:51,16.37070800,-25553.1
18/12/2016-15:03:52,16.37069780,-25553.7
18/12/2016-15:03:52,16.37069550,-25553.8
18/12/2016-15:03:53,16.37071510,-25552.7
18/12/2016-15:03:53,16.37067910,-25554.8
18/12/2016-15:03:54,16.37069990,-25553.6
18/12/2016-15:03:54,16.37068270,-25554.6
18/12/2016-15:03:56,16.37068100,-25554.7
18/12/2016-15:03:57,16.37069030,-25554.1
18/12/2016-15:03:57,16.37070080,-25553.5
18/12/2016-15:03:57,16.37067740,-25554.9
18/12/2016-15:03:58,16.37069440,-25553.9
18/12/2016-15:03:58,16.37068510,-25554.5
18/12/2016-15:03:59,16.37069980,-25553.6
18/12/2016-15:03:59,16.37070140,-25553.5
18/12/2016-15:04:00,16.37071810,-25552.5
18/12/2016-15:04:00,16.37070590,-25553.2
18/12/2016-15:04:01,16.37068020,-25554.8
18/12/2016-15:04:01,16.37068900,-25554.2
18/12/2016-15:04:02,16.37068290,-25554.6
18/12/2016-15:04:02,16.37069670,-25553.8
18/12/2016-15:04:03,16.37069010,-25554.2
18/12/2016-15:04:03,16.37069750,-25553.7
18/12/2016-15:04:03,16.37074650,-25550.8
18/12/2016-15:04:04,16.37071580,-25552.6
18/12/2016-15:04:04,16.37067670,-25555.0
18/12/2016-15:04:05,16.37068240,-25554.6
18/12/2016-15:04:05,16.37071680,-25552.6
18/12/2016-15:04:06,16.37069280,-25554.0
18/12/2016-15:04:06,16.37069800,-25553.7
18/12/2016-15:04:07,16.37071390,-25552.7
18/12/2016-15:04:07,16.37068780,-25554.3
18/12/2016-15:04:08,16.37068800,-25554.3
18/12/2016-15:04:08,16.37069380,-25553.9
18/12/2016-15:04:09,16.37071670,-25552.6
18/12/2016-15:04:09,16.37070790,-25553.1
18/12/2016-15:04:10,16.37071640,-25552.6
18/12/2016-15:04:10,16.37070070,-25553.5
18/12/2016-15:04:10,16.37071490,-25552.7
18/12/2016-15:04:11,16.37069220,-25554.0
